종가,52주최고,고점대비%,신고가갱신,OBV위치%,5일수익%,20일수익%,거래량배수,20일선위,60일선위,데이터일수,A_신고가임박,B_OBV신고가,C_연속양봉,티커,종목명,시총(억),거래대금(억)
12450.0,21150.0,-41.13,False,97.8,14.01,12.06,1.63,True,True,323,False,False,False,005690,파미셀,7476.5001444,236.7768148
129600.0,198000.0,-34.55,False,95.1,-3.57,43.52,0.3,True,True,323,False,False,False,052690,한전기술,50297.52,236.727945
366500.0,475000.0,-22.84,False,79.6,0.83,-10.5,0.3,False,False,323,False,False,False,278470,에이피알,137210.838075,228.8235075
2860.0,3495.0,-18.17,False,100.0,21.7,88.65,2.98,True,True,323,False,True,False,010580,에스엠벡셀,3176.237748,230.57167943
13510.0,20300.0,-33.45,False,99.8,6.21,4.89,0.75,True,True,323,False,False,False,006340,대원전선,10609.4704848,234.5267807
11600.0,13280.0,-12.65,False,84.2,34.73,20.96,3.03,True,True,323,True,False,True,144960,뉴파워프라즈마,5024.65176,226.14720965
4135.0,8100.0,-48.95,False,100.0,-5.05,47.42,0.27,True,True,323,False,True,False,069540,빛과전자,4704.88669975,229.17481521
154400.0,177100.0,-12.82,False,63.3,6.12,9.35,0.53,True,True,323,True,False,False,010950,S-Oil,173377.49968,225.5653755
57500.0,91200.0,-36.95,False,100.0,3.42,7.28,0.17,True,True,323,False,False,False,047050,포스코인터내셔널,101507.448676,216.27428
79750.0,190000.0,-58.03,False,91.3,-0.68,-9.27,0.53,False,False,323,False,False,False,086520,에코프로,108756.697752,212.8935595
177900.0,299500.0,-40.6,False,79.1,0.57,4.1,0.46,False,True,323,False,False,False,003670,포스코퓨처엠,158857.94892,209.627051
81900.0,154800.0,-47.09,False,70.1,-3.87,-1.8,0.51,False,False,323,False,False,False,042660,한화오션,251565.396474,208.450152
204000.0,341000.0,-40.18,False,72.5,4.78,23.56,0.41,True,True,323,False,False,False,062040,산일전기,62358.19975,194.112535
33300.0,69700.0,-52.22,False,21.5,-3.62,-6.98,0.48,False,False,323,False,False,False,035720,카카오,147297.4677475,197.9814505
20500.0,35350.0,-42.01,False,47.4,-7.24,1.99,0.48,False,False,323,False,False,False,010140,삼성중공업,181280.0,197.65062125
72900.0,147900.0,-50.71,False,91.6,5.65,10.29,1.21,True,True,323,False,False,False,103590,일진전기,34762.64931,194.3728975
36350.0,41500.0,-12.41,False,86.1,-1.22,13.77,0.23,True,True,323,True,False,False,316140,우리금융지주,268190.306748,191.82479975
32700.0,44000.0,-25.68,False,95.1,14.74,14.94,2.04,True,True,323,False,False,False,122640,예스티,7004.2036375,191.474057
13970.0,64600.0,-78.37,False,98.5,35.11,44.62,4.13,True,True,186,False,False,False,478340,나라스페이스테크놀로지,1638.2295565,180.7685252
7940.0,16200.0,-50.99,False,99.5,11.52,85.51,0.53,True,True,323,False,False,False,046970,우리로,3523.5299196,190.89459145
714000.0,1430000.0,-50.07,False,5.4,-2.19,-0.83,0.28,False,False,323,False,False,False,267260,HD현대일렉트릭,258097.4866,180.040945
474500.0,623000.0,-23.84,False,85.2,11.52,22.29,0.43,True,True,323,False,False,False,039030,이오테크닉스,58209.87375,190.2014
180500.0,239244.0,-24.55,False,43.3,1.98,-6.96,0.38,False,False,323,False,False,False,068270,셀트리온,421967.557264,187.069324
21750.0,50400.0,-56.85,False,99.8,5.07,-5.02,1.0,False,False,323,False,False,False,319400,현대무벡스,24279.976502,178.04055675
29950.0,91200.0,-67.16,False,100.0,49.0,63.48,1.99,True,True,323,False,True,True,160190,하이젠알앤엠,9220.068,176.046061
